Id,Name,Quality,Slot,Type,SubType,Texture,Source,Zone,Dungeon Difficulty,Phase,Class,Spec,BIS Status/arguments,Link,SourceType,SourceNumber,SourceFaction
24266,Spellstrike Hood,,Head,,,,Tailoring (375),31455,,0,Druid,Balance,BIS,https://wowhead.com/item=24266,Profession,0,B
31110,Druidic Helmet of Second Sight,,Head,,,,"Teron Gorefiend, I am.",Shadowmoon Valley,,0,Druid,Balance,Alt,https://wowhead.com/item=31110,Quest,0,B
28169,Mag'hari Ritualist's Horns,,Head,,,,Hero of the Mag'har,Nagrand,,0,Druid,Balance,Alt,https://wowhead.com/item=28169,Quest,0,H
32089,Mana-Binders Cowl,,Head,,,,Badge of Justice,G'eras,,0,Druid,Balance,Alt,https://wowhead.com/item=32089,Dungeon Token,50,B
28137,Gladiator's Wyrmhide Helm,,Head,,,,Honor Points,PvP Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=28137,PvP,?,B
28278,Incanter's Cowl,,Head,,,,Pathaleon the Calculator,The Mechanar,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28278,Drop,0,B
28415,Hood of Oblivion,,Head,,,,Harbinger Skyriss,The Arcatraz,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=28415,Drop,0,B
27796,Mana-Etched Spaulders,,Shoulder,,,,Quagmirran,The Slave Pens (H),Heroic,0,Druid,Balance,BIS,https://wowhead.com/item=27796,Drop,0,B
27778,Spaulders of Oblivion,,Shoulder,,,,Murmur,Shadow Labyrinth,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=27778,Drop,0,B
30925,Spaulders of the Torn-heart,,Shoulder,,,,The Cipher of Damnation - The Third Fragment Recovered,Shadowmoon Valley,,0,Druid,Balance,Alt,https://wowhead.com/item=30925,Quest,0,B
27994,Mantle of Three Terrors,,Shoulder,,,,Chrono Lord Deja,The Black Morass,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=27994,Drop,0,B
22983,Rime Covered Mantle,,Shoulder,,,,Gluth,Naxxramas,,0,Druid,Balance,Alt,https://wowhead.com/item=22983,Drop,0,B
28139,Gladiator's Wyrmhide Spaulders,,Shoulder,,,,Honor Points,PvP Vendor,,0,Druid,Balance,Alt,https://wowhead.com/item=28139,PvP,?,B
27738,Incanter's Pauldrons,,Shoulder,,,,Warlord Kalithresh,The Steamvault,Normal,0,Druid,Balance,Alt,https://wowhead.com/item=27738,Drop,0,B
31797,Elekk Hide Spaulders,,Shoulder,,,,The Fallen Exarch,Terokkar Forest,,0,Druid,Balance,Alt,https://wowhead.com/item=31797,Quest,0,B
27981,Sethekk Oracle Cloak,,Back,,,,Talon King Ikiss,Sethekk Halls,Normal,0,Druid,Balance,BIS,https://wowhead.com/item=27981,Drop,0,B
31140,Cloak of Entropy,,Back,,,,World Drop,,,0,Druid,Balance,Alt,https://wowhead.com/item=31140,Drop,0,B
23050,Cloak of the Necropolis,,Back,,,,Sapphiron,Naxxramas,,0,Druid,Balance,Alt,https://wowhead.com/item=23050,Drop,0,B
22731,Cloak of the Devoured,,Back,,,,C'Thun,Ahn'Qiraj,,0,Druid,Balance,Alt,https://wowhead.com/item=22731,Drop,0,B
29369,Shawl of Shifting Probabilities,,Back,,,,Badge of Justice,G'eras,,0,Druid,Balance,Alt,https://wowhead.com/item=29369,Dungeon Token,25,B
24252,Cloak of the Black Void,,Back,,,,Tailoring (350),31438,,0,Druid,Balance,Alt,https://wowhead.com/item=24252,Profession,0,B
25777,Ogre Slayer's Cover,,Back,,,,Cho'war the Pillager,Nagrand,,0,Druid,Balance,Alt,https://wowhead.com/item=25777,Quest,0,B
21848,Spellfire Robe,,Chest,,,,Tailoring (375),26754,,0,Druid,Balance,BIS,https://wowhead.com/item=21848,Profession,0,B
29522,Windhawk Hauberk,,Chest,,,,Leatherworking (375),35585,,0,Druid,Balance,Alt,https://wowhead.com/item=29522,Profession,0,B
